Total time elapsed: 0.0051	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0078	Time updating: 0.0000	Time rendering: 0.0058	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0081	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0081	Time updating: 0.0000	Time rendering: 0.0051	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0125	Time updating: 0.0000	Time rendering: 0.0109	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0127	Time updating: 0.0000	Time rendering: 0.0083	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0152	Time updating: 0.0000	Time rendering: 0.0057	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0076	Time updating: 0.0000	Time rendering: 0.0090	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0108	Time updating: 0.0000	Time rendering: 0.0063	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0082	Time updating: 0.0000	Time rendering: 0.0061	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0095	Time updating: 0.0000	Time rendering: 0.0053	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0072	Time updating: 0.0000	Time rendering: 0.0064	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0097	Time updating: 0.0000	Time rendering: 0.0054	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0072	Time updating: 0.0000	Time rendering: 0.0060	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0094	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0033	FPS: 49
Total time elapsed: 0.0112	Time updating: 0.0000	Time rendering: 0.0067	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0086	Time updating: 0.0000	Time rendering: 0.0026	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0081	Time updating: 0.0000	Time rendering: 0.0106	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0128	Time updating: 0.0000	Time rendering: 0.0034	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0055	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0095	Time updating: 0.0000	Time rendering: 0.0046	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0068	Time updating: 0.0000	Time rendering: 0.0077	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0099	Time updating: 0.0000	Time rendering: 0.0035	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0079	Time updating: 0.0000	Time rendering: 0.0093	Time Sleeping: 0.0032	FPS: 112
Total time elapsed: 0.0137	Time updating: 0.0008	Time rendering: 0.0083	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0109	Time updating: 0.0000	Time rendering: 0.0022	Time Sleeping: 0.0026	FPS: 112
Total time elapsed: 0.0070	Time updating: 0.0000	Time rendering: 0.0075	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0096	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0045	FPS: 112
Total time elapsed: 0.0078	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0093	Time updating: 0.0000	Time rendering: 0.0042	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0064	Time updating: 0.0000	Time rendering: 0.0073	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0095	Time updating: 0.0000	Time rendering: 0.0026	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0050	Time updating: 0.0000	Time rendering: 0.0029	Time Sleeping: 0.0014	FPS: 112
Total time elapsed: 0.0052	Time updating: 0.0000	Time rendering: 0.0082	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0105	Time updating: 0.0000	Time rendering: 0.0032	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0056	Time updating: 0.0000	Time rendering: 0.0149	Time Sleeping: 0.0011	FPS: 112
Total time elapsed: 0.0171	Time updating: 0.0000	Time rendering: 0.0065	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0085	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0014	FPS: 112
Total time elapsed: 0.0049	Time updating: 0.0000	Time rendering: 0.0084	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0163	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0091	Time updating: 0.0000	Time rendering: 0.0022	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0050	Time updating: 0.0000	Time rendering: 0.0062	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0085	Time updating: 0.0000	Time rendering: 0.0029	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0048	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0091	Time updating: 0.0000	Time rendering: 0.0077	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0096	Time updating: 0.0000	Time rendering: 0.0085	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0118	Time updating: 0.0000	Time rendering: 0.0058	Time Sleeping: 0.0035	FPS: 112
Total time elapsed: 0.0101	Time updating: 0.0000	Time rendering: 0.0065	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0162	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0063	Time updating: 0.0000	Time rendering: 0.0052	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0071	Time updating: 0.0000	Time rendering: 0.0104	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0123	Time updating: 0.0000	Time rendering: 0.0022	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0068	Time updating: 0.0000	Time rendering: 0.0103	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0121	Time updating: 0.0000	Time rendering: 0.0129	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0147	Time updating: 0.0000	Time rendering: 0.0024	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0044	Time updating: 0.0000	Time rendering: 0.0101	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0119	Time updating: 0.0000	Time rendering: 0.0023	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0043	Time updating: 0.0000	Time rendering: 0.0118	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0137	Time updating: 0.0000	Time rendering: 0.0026	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0047	Time updating: 0.0000	Time rendering: 0.0095	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0113	Time updating: 0.0000	Time rendering: 0.0028	Time Sleeping: 0.0013	FPS: 112
Total time elapsed: 0.0051	Time updating: 0.0000	Time rendering: 0.0101	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0121	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0020	FPS: 112
Total time elapsed: 0.0075	Time updating: 0.0000	Time rendering: 0.0028	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0050	Time updating: 0.0000	Time rendering: 0.0032	Time Sleeping: 0.0014	FPS: 112
Total time elapsed: 0.0055	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0070	Time updating: 0.0000	Time rendering: 0.0054	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0075	Time updating: 0.0000	Time rendering: 0.0089	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0108	Time updating: 0.0000	Time rendering: 0.0062	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0080	Time updating: 0.0000	Time rendering: 0.0048	Time Sleeping: 0.0012	FPS: 112
Total time elapsed: 0.0069	Time updating: 0.0000	Time rendering: 0.0065	Time Sleeping: 0.0012	FPS: 112
